"MTU (UTC)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"02/03/2025 19:00 - 02/03/2025 19:15","BZN|DE-LU","53622.17","53693.56"
"02/03/2025 19:15 - 02/03/2025 19:30","BZN|DE-LU","53074.56","53122.20"
"02/03/2025 19:30 - 02/03/2025 19:45","BZN|DE-LU","52597.93","52493.71"
"02/03/2025 19:45 - 02/03/2025 20:00","BZN|DE-LU","52239.64","51987.52"
"02/03/2025 20:00 - 02/03/2025 20:15","BZN|DE-LU","52235.25","51839.88"
"02/03/2025 20:15 - 02/03/2025 20:30","BZN|DE-LU","51777.93","51454.99"
"02/03/2025 20:30 - 02/03/2025 20:45","BZN|DE-LU","51558.92","51205.85"
"02/03/2025 20:45 - 02/03/2025 21:00","BZN|DE-LU","51573.02","50895.79"
"02/03/2025 21:00 - 02/03/2025 21:15","BZN|DE-LU","51915.67","50964.72"
"02/03/2025 21:15 - 02/03/2025 21:30","BZN|DE-LU","51186.60","50563.31"
"02/03/2025 21:30 - 02/03/2025 21:45","BZN|DE-LU","51110.04","49969.63"
"02/03/2025 21:45 - 02/03/2025 22:00","BZN|DE-LU","50578.23","49366.96"
"02/03/2025 22:00 - 02/03/2025 22:15","BZN|DE-LU","50055.02","48902.00"
"02/03/2025 22:15 - 02/03/2025 22:30","BZN|DE-LU","49520.18","48255.49"
"02/03/2025 22:30 - 02/03/2025 22:45","BZN|DE-LU","48699.58","47390.88"
"02/03/2025 22:45 - 02/03/2025 23:00","BZN|DE-LU","48433.77","46674.46"
"02/03/2025 23:00 - 02/03/2025 23:15","BZN|DE-LU","47733.39","46761.01"
"02/03/2025 23:15 - 02/03/2025 23:30","BZN|DE-LU","47209.09","46427.62"
"02/03/2025 23:30 - 02/03/2025 23:45","BZN|DE-LU","47167.60","46330.18"
"02/03/2025 23:45 - 03/03/2025 00:00","BZN|DE-LU","46790.54","46272.59"
"03/03/2025 00:00 - 03/03/2025 00:15","BZN|DE-LU","46433.19","45664.27"
"03/03/2025 00:15 - 03/03/2025 00:30","BZN|DE-LU","46189.91","45668.73"
"03/03/2025 00:30 - 03/03/2025 00:45","BZN|DE-LU","46107.42","45651.52"
"03/03/2025 00:45 - 03/03/2025 01:00","BZN|DE-LU","46043.92","45550.59"
"03/03/2025 01:00 - 03/03/2025 01:15","BZN|DE-LU","45729.69","45508.52"
"03/03/2025 01:15 - 03/03/2025 01:30","BZN|DE-LU","45715.96","45525.24"
"03/03/2025 01:30 - 03/03/2025 01:45","BZN|DE-LU","45830.21","45568.38"
"03/03/2025 01:45 - 03/03/2025 02:00","BZN|DE-LU","45823.06","45697.30"
"03/03/2025 02:00 - 03/03/2025 02:15","BZN|DE-LU","45832.72","46100.52"
"03/03/2025 02:15 - 03/03/2025 02:30","BZN|DE-LU","46093.05","46266.27"
"03/03/2025 02:30 - 03/03/2025 02:45","BZN|DE-LU","46424.89","46238.64"
"03/03/2025 02:45 - 03/03/2025 03:00","BZN|DE-LU","46894.01","46585.48"
"03/03/2025 03:00 - 03/03/2025 03:15","BZN|DE-LU","47625.88","47307.34"
"03/03/2025 03:15 - 03/03/2025 03:30","BZN|DE-LU","47760.58","47270.88"
"03/03/2025 03:30 - 03/03/2025 03:45","BZN|DE-LU","48277.47","47744.24"
"03/03/2025 03:45 - 03/03/2025 04:00","BZN|DE-LU","48845.13","48228.83"
"03/03/2025 04:00 - 03/03/2025 04:15","BZN|DE-LU","49769.37","50131.88"
"03/03/2025 04:15 - 03/03/2025 04:30","BZN|DE-LU","50567.44","50177.94"
"03/03/2025 04:30 - 03/03/2025 04:45","BZN|DE-LU","51735.71","52933.82"
"03/03/2025 04:45 - 03/03/2025 05:00","BZN|DE-LU","53400.23","54547.40"
"03/03/2025 05:00 - 03/03/2025 05:15","BZN|DE-LU","56102.95","57599.59"
"03/03/2025 05:15 - 03/03/2025 05:30","BZN|DE-LU","57885.56","59607.95"
"03/03/2025 05:30 - 03/03/2025 05:45","BZN|DE-LU","58951.85","61211.28"
"03/03/2025 05:45 - 03/03/2025 06:00","BZN|DE-LU","60202.88","62638.91"
"03/03/2025 06:00 - 03/03/2025 06:15","BZN|DE-LU","61480.94","64326.25"
"03/03/2025 06:15 - 03/03/2025 06:30","BZN|DE-LU","62345.59","65304.62"
"03/03/2025 06:30 - 03/03/2025 06:45","BZN|DE-LU","63276.68","66255.96"
"03/03/2025 06:45 - 03/03/2025 07:00","BZN|DE-LU","63524.30","67076.06"
"03/03/2025 07:00 - 03/03/2025 07:15","BZN|DE-LU","64073.60","67984.03"
"03/03/2025 07:15 - 03/03/2025 07:30","BZN|DE-LU","64378.80","68773.82"
"03/03/2025 07:30 - 03/03/2025 07:45","BZN|DE-LU","65036.30","69543.86"
"03/03/2025 07:45 - 03/03/2025 08:00","BZN|DE-LU","65450.69","69618.04"
"03/03/2025 08:00 - 03/03/2025 08:15","BZN|DE-LU","64759.64","69405.72"
"03/03/2025 08:15 - 03/03/2025 08:30","BZN|DE-LU","64698.11","69654.10"
"03/03/2025 08:30 - 03/03/2025 08:45","BZN|DE-LU","65015.65","69935.68"
"03/03/2025 08:45 - 03/03/2025 09:00","BZN|DE-LU","65120.04","69877.59"
"03/03/2025 09:00 - 03/03/2025 09:15","BZN|DE-LU","64843.38","69561.68"
"03/03/2025 09:15 - 03/03/2025 09:30","BZN|DE-LU","64672.79","69864.54"
"03/03/2025 09:30 - 03/03/2025 09:45","BZN|DE-LU","64637.85","69889.56"
"03/03/2025 09:45 - 03/03/2025 10:00","BZN|DE-LU","64592.61","70005.43"
"03/03/2025 10:00 - 03/03/2025 10:15","BZN|DE-LU","63836.22","69409.44"
"03/03/2025 10:15 - 03/03/2025 10:30","BZN|DE-LU","64332.10","69721.70"
"03/03/2025 10:30 - 03/03/2025 10:45","BZN|DE-LU","64073.35","69453.17"
"03/03/2025 10:45 - 03/03/2025 11:00","BZN|DE-LU","63768.40","69316.68"
"03/03/2025 11:00 - 03/03/2025 11:15","BZN|DE-LU","62989.23","68872.11"
"03/03/2025 11:15 - 03/03/2025 11:30","BZN|DE-LU","62467.51","68724.69"
"03/03/2025 11:30 - 03/03/2025 11:45","BZN|DE-LU","62314.36","68525.30"
"03/03/2025 11:45 - 03/03/2025 12:00","BZN|DE-LU","62006.75","68724.89"
"03/03/2025 12:00 - 03/03/2025 12:15","BZN|DE-LU","62053.08","68390.81"
"03/03/2025 12:15 - 03/03/2025 12:30","BZN|DE-LU","60994.84","68070.11"
"03/03/2025 12:30 - 03/03/2025 12:45","BZN|DE-LU","60493.72","67691.17"
"03/03/2025 12:45 - 03/03/2025 13:00","BZN|DE-LU","59613.34","67021.29"
"03/03/2025 13:00 - 03/03/2025 13:15","BZN|DE-LU","59800.23","65999.55"
"03/03/2025 13:15 - 03/03/2025 13:30","BZN|DE-LU","59213.94","66405.02"
"03/03/2025 13:30 - 03/03/2025 13:45","BZN|DE-LU","59291.60","66022.98"
"03/03/2025 13:45 - 03/03/2025 14:00","BZN|DE-LU","58900.80","66062.78"
"03/03/2025 14:00 - 03/03/2025 14:15","BZN|DE-LU","59010.51","65993.22"
"03/03/2025 14:15 - 03/03/2025 14:30","BZN|DE-LU","58644.54","65814.07"
"03/03/2025 14:30 - 03/03/2025 14:45","BZN|DE-LU","58674.83","66007.42"
"03/03/2025 14:45 - 03/03/2025 15:00","BZN|DE-LU","58645.21","66050.96"
"03/03/2025 15:00 - 03/03/2025 15:15","BZN|DE-LU","59321.15","65978.77"
"03/03/2025 15:15 - 03/03/2025 15:30","BZN|DE-LU","59231.46","66541.12"
"03/03/2025 15:30 - 03/03/2025 15:45","BZN|DE-LU","59531.89","66520.87"
"03/03/2025 15:45 - 03/03/2025 16:00","BZN|DE-LU","59567.90","66767.82"
"03/03/2025 16:00 - 03/03/2025 16:15","BZN|DE-LU","60774.24","66467.71"
"03/03/2025 16:15 - 03/03/2025 16:30","BZN|DE-LU","61688.10","66670.81"
"03/03/2025 16:30 - 03/03/2025 16:45","BZN|DE-LU","62278.16","67782.24"
"03/03/2025 16:45 - 03/03/2025 17:00","BZN|DE-LU","63692.18","68236.18"
"03/03/2025 17:00 - 03/03/2025 17:15","BZN|DE-LU","64528.68","68336.27"
"03/03/2025 17:15 - 03/03/2025 17:30","BZN|DE-LU","64873.92","68137.54"
"03/03/2025 17:30 - 03/03/2025 17:45","BZN|DE-LU","65412.03","68346.32"
"03/03/2025 17:45 - 03/03/2025 18:00","BZN|DE-LU","65749.31","68716.05"
"03/03/2025 18:00 - 03/03/2025 18:15","BZN|DE-LU","65254.81","68499.67"
"03/03/2025 18:15 - 03/03/2025 18:30","BZN|DE-LU","64925.55","68000.01"
"03/03/2025 18:30 - 03/03/2025 18:45","BZN|DE-LU","64675.77","67105.46"
"03/03/2025 18:45 - 03/03/2025 19:00","BZN|DE-LU","64006.13","66642.42"
"03/03/2025 19:00 - 03/03/2025 19:15","BZN|DE-LU","62911.58","65372.84"
"03/03/2025 19:15 - 03/03/2025 19:30","BZN|DE-LU","62486.74","63974.63"
"03/03/2025 19:30 - 03/03/2025 19:45","BZN|DE-LU","61475.55","62947.97"
"03/03/2025 19:45 - 03/03/2025 20:00","BZN|DE-LU","60626.47","62029.38"
"03/03/2025 20:00 - 03/03/2025 20:15","BZN|DE-LU","60217.81","61176.10"
"03/03/2025 20:15 - 03/03/2025 20:30","BZN|DE-LU","59392.95","60800.53"
"03/03/2025 20:30 - 03/03/2025 20:45","BZN|DE-LU","58714.82","59537.99"
"03/03/2025 20:45 - 03/03/2025 21:00","BZN|DE-LU","58113.00","58674.61"
"03/03/2025 21:00 - 03/03/2025 21:15","BZN|DE-LU","57899.32","58022.45"
"03/03/2025 21:15 - 03/03/2025 21:30","BZN|DE-LU","56516.07","57408.36"
"03/03/2025 21:30 - 03/03/2025 21:45","BZN|DE-LU","55898.43","56363.99"
"03/03/2025 21:45 - 03/03/2025 22:00","BZN|DE-LU","55324.21","55426.58"
"03/03/2025 22:00 - 03/03/2025 22:15","BZN|DE-LU","54476.75","54522.34"
"03/03/2025 22:15 - 03/03/2025 22:30","BZN|DE-LU","53749.05","53497.04"
"03/03/2025 22:30 - 03/03/2025 22:45","BZN|DE-LU","53080.12","52460.17"
"03/03/2025 22:45 - 03/03/2025 23:00","BZN|DE-LU","52364.19","51988.18"
"03/03/2025 23:00 - 03/03/2025 23:15","BZN|DE-LU","51826.88","51396.91"
"03/03/2025 23:15 - 03/03/2025 23:30","BZN|DE-LU","51098.55","51072.79"
"03/03/2025 23:30 - 03/03/2025 23:45","BZN|DE-LU","50834.14","50680.45"
"03/03/2025 23:45 - 04/03/2025 00:00","BZN|DE-LU","50128.53","50575.27"
"04/03/2025 00:00 - 04/03/2025 00:15","BZN|DE-LU","49478.17","49945.45"
"04/03/2025 00:15 - 04/03/2025 00:30","BZN|DE-LU","49652.96","49718.19"
"04/03/2025 00:30 - 04/03/2025 00:45","BZN|DE-LU","49594.47","49754.47"
"04/03/2025 00:45 - 04/03/2025 01:00","BZN|DE-LU","49106.05","49573.17"
"04/03/2025 01:00 - 04/03/2025 01:15","BZN|DE-LU","49263.75","49142.61"
"04/03/2025 01:15 - 04/03/2025 01:30","BZN|DE-LU","49223.19","48982.30"
"04/03/2025 01:30 - 04/03/2025 01:45","BZN|DE-LU","49188.90","48866.80"
"04/03/2025 01:45 - 04/03/2025 02:00","BZN|DE-LU","49155.43","49089.33"
"04/03/2025 02:00 - 04/03/2025 02:15","BZN|DE-LU","49170.15","49234.57"
"04/03/2025 02:15 - 04/03/2025 02:30","BZN|DE-LU","49050.37","49861.36"
"04/03/2025 02:30 - 04/03/2025 02:45","BZN|DE-LU","49128.87","49556.83"
"04/03/2025 02:45 - 04/03/2025 03:00","BZN|DE-LU","49551.38","49891.87"
"04/03/2025 03:00 - 04/03/2025 03:15","BZN|DE-LU","50700.65","50378.29"
"04/03/2025 03:15 - 04/03/2025 03:30","BZN|DE-LU","50754.33","50693.78"
"04/03/2025 03:30 - 04/03/2025 03:45","BZN|DE-LU","50956.62","51007.67"
"04/03/2025 03:45 - 04/03/2025 04:00","BZN|DE-LU","51756.53","51703.34"
"04/03/2025 04:00 - 04/03/2025 04:15","BZN|DE-LU","53588.95","52951.74"
"04/03/2025 04:15 - 04/03/2025 04:30","BZN|DE-LU","54405.64","53460.75"
"04/03/2025 04:30 - 04/03/2025 04:45","BZN|DE-LU","55340.96","54488.42"
"04/03/2025 04:45 - 04/03/2025 05:00","BZN|DE-LU","56847.64","56030.22"
"04/03/2025 05:00 - 04/03/2025 05:15","BZN|DE-LU","59136.88","58948.63"
"04/03/2025 05:15 - 04/03/2025 05:30","BZN|DE-LU","61214.01","60946.65"
"04/03/2025 05:30 - 04/03/2025 05:45","BZN|DE-LU","62731.66","62532.37"
"04/03/2025 05:45 - 04/03/2025 06:00","BZN|DE-LU","63592.04","64163.83"
"04/03/2025 06:00 - 04/03/2025 06:15","BZN|DE-LU","64670.26","65433.70"
"04/03/2025 06:15 - 04/03/2025 06:30","BZN|DE-LU","65548.27","66386.90"
"04/03/2025 06:30 - 04/03/2025 06:45","BZN|DE-LU","65779.02","67054.79"
"04/03/2025 06:45 - 04/03/2025 07:00","BZN|DE-LU","66086.40","68144.44"
"04/03/2025 07:00 - 04/03/2025 07:15","BZN|DE-LU","66753.35","68827.53"
"04/03/2025 07:15 - 04/03/2025 07:30","BZN|DE-LU","67502.17","69659.75"
"04/03/2025 07:30 - 04/03/2025 07:45","BZN|DE-LU","67559.22","70035.15"
"04/03/2025 07:45 - 04/03/2025 08:00","BZN|DE-LU","68302.04","70342.47"
"04/03/2025 08:00 - 04/03/2025 08:15","BZN|DE-LU","66391.58","70179.24"
"04/03/2025 08:15 - 04/03/2025 08:30","BZN|DE-LU","66788.67","70329.79"
"04/03/2025 08:30 - 04/03/2025 08:45","BZN|DE-LU","67379.67","70699.56"
"04/03/2025 08:45 - 04/03/2025 09:00","BZN|DE-LU","67513.99","70706.68"
"04/03/2025 09:00 - 04/03/2025 09:15","BZN|DE-LU","66604.05","70335.81"
"04/03/2025 09:15 - 04/03/2025 09:30","BZN|DE-LU","67072.21","70509.21"
"04/03/2025 09:30 - 04/03/2025 09:45","BZN|DE-LU","67576.38","70655.36"
"04/03/2025 09:45 - 04/03/2025 10:00","BZN|DE-LU","68207.69","70414.78"
"04/03/2025 10:00 - 04/03/2025 10:15","BZN|DE-LU","66529.16","70145.84"
"04/03/2025 10:15 - 04/03/2025 10:30","BZN|DE-LU","66669.05","70085.41"
"04/03/2025 10:30 - 04/03/2025 10:45","BZN|DE-LU","67213.13","70089.29"
"04/03/2025 10:45 - 04/03/2025 11:00","BZN|DE-LU","67065.83","69999.81"
"04/03/2025 11:00 - 04/03/2025 11:15","BZN|DE-LU","66113.42","69645.29"
"04/03/2025 11:15 - 04/03/2025 11:30","BZN|DE-LU","65096.99","69394.37"
"04/03/2025 11:30 - 04/03/2025 11:45","BZN|DE-LU","64574.06","69406.03"
"04/03/2025 11:45 - 04/03/2025 12:00","BZN|DE-LU","63806.79","68988.69"
"04/03/2025 12:00 - 04/03/2025 12:15","BZN|DE-LU","63491.81","68385.48"
"04/03/2025 12:15 - 04/03/2025 12:30","BZN|DE-LU","63035.76","68010.60"
"04/03/2025 12:30 - 04/03/2025 12:45","BZN|DE-LU","62383.10","67595.23"
"04/03/2025 12:45 - 04/03/2025 13:00","BZN|DE-LU","61461.51","66854.70"
"04/03/2025 13:00 - 04/03/2025 13:15","BZN|DE-LU","60964.45","66922.98"
"04/03/2025 13:15 - 04/03/2025 13:30","BZN|DE-LU","60518.06","66314.77"
"04/03/2025 13:30 - 04/03/2025 13:45","BZN|DE-LU","60125.34","65962.18"
"04/03/2025 13:45 - 04/03/2025 14:00","BZN|DE-LU","59674.23","65828.18"
"04/03/2025 14:00 - 04/03/2025 14:15","BZN|DE-LU","59575.82","66428.60"
"04/03/2025 14:15 - 04/03/2025 14:30","BZN|DE-LU","58637.78","66070.01"
"04/03/2025 14:30 - 04/03/2025 14:45","BZN|DE-LU","58310.49","65953.02"
"04/03/2025 14:45 - 04/03/2025 15:00","BZN|DE-LU","58368.94","66083.18"
"04/03/2025 15:00 - 04/03/2025 15:15","BZN|DE-LU","59455.06","65690.13"
"04/03/2025 15:15 - 04/03/2025 15:30","BZN|DE-LU","59319.71","65884.78"
"04/03/2025 15:30 - 04/03/2025 15:45","BZN|DE-LU","59324.04","66034.41"
"04/03/2025 15:45 - 04/03/2025 16:00","BZN|DE-LU","59840.55","66378.25"
"04/03/2025 16:00 - 04/03/2025 16:15","BZN|DE-LU","61978.96","66942.07"
"04/03/2025 16:15 - 04/03/2025 16:30","BZN|DE-LU","62792.99","66855.53"
"04/03/2025 16:30 - 04/03/2025 16:45","BZN|DE-LU","64241.10","67715.23"
"04/03/2025 16:45 - 04/03/2025 17:00","BZN|DE-LU","65228.87","67807.36"
"04/03/2025 17:00 - 04/03/2025 17:15","BZN|DE-LU","66210.87","67275.11"
"04/03/2025 17:15 - 04/03/2025 17:30","BZN|DE-LU","66564.73","68305.07"
"04/03/2025 17:30 - 04/03/2025 17:45","BZN|DE-LU","67156.00","68707.88"
"04/03/2025 17:45 - 04/03/2025 18:00","BZN|DE-LU","67612.86","68877.60"
"04/03/2025 18:00 - 04/03/2025 18:15","BZN|DE-LU","67232.97","68280.98"
"04/03/2025 18:15 - 04/03/2025 18:30","BZN|DE-LU","66641.01","67425.54"
"04/03/2025 18:30 - 04/03/2025 18:45","BZN|DE-LU","66435.07","66757.01"
"04/03/2025 18:45 - 04/03/2025 19:00","BZN|DE-LU","65748.23","65952.62"
"04/03/2025 19:00 - 04/03/2025 19:15","BZN|DE-LU","64404.01","64995.70"
"04/03/2025 19:15 - 04/03/2025 19:30","BZN|DE-LU","63558.10","63723.06"
"04/03/2025 19:30 - 04/03/2025 19:45","BZN|DE-LU","62612.27","62694.22"
"04/03/2025 19:45 - 04/03/2025 20:00","BZN|DE-LU","61876.42","61952.42"
"04/03/2025 20:00 - 04/03/2025 20:15","BZN|DE-LU","61218.70","61183.36"
"04/03/2025 20:15 - 04/03/2025 20:30","BZN|DE-LU","60226.34","60213.56"
"04/03/2025 20:30 - 04/03/2025 20:45","BZN|DE-LU","59599.81","58989.65"
"04/03/2025 20:45 - 04/03/2025 21:00","BZN|DE-LU","59014.54","58351.86"
"04/03/2025 21:00 - 04/03/2025 21:15","BZN|DE-LU","58676.01","57950.67"
"04/03/2025 21:15 - 04/03/2025 21:30","BZN|DE-LU","57910.93","57250.75"
"04/03/2025 21:30 - 04/03/2025 21:45","BZN|DE-LU","57101.54","56290.64"
"04/03/2025 21:45 - 04/03/2025 22:00","BZN|DE-LU","56202.40","55161.61"
"04/03/2025 22:00 - 04/03/2025 22:15","BZN|DE-LU","55176.51","54718.21"
"04/03/2025 22:15 - 04/03/2025 22:30","BZN|DE-LU","54492.94","54047.63"
"04/03/2025 22:30 - 04/03/2025 22:45","BZN|DE-LU","53693.50","52980.14"
"04/03/2025 22:45 - 04/03/2025 23:00","BZN|DE-LU","53018.82","52620.26"
"04/03/2025 23:00 - 04/03/2025 23:15","BZN|DE-LU","52119.42","52072.26"
"04/03/2025 23:15 - 04/03/2025 23:30","BZN|DE-LU","51580.37","51223.09"
"04/03/2025 23:30 - 04/03/2025 23:45","BZN|DE-LU","51051.14","51238.59"
"04/03/2025 23:45 - 05/03/2025 00:00","BZN|DE-LU","50598.26","50651.72"
"05/03/2025 00:00 - 05/03/2025 00:15","BZN|DE-LU","50296.28","50500.34"
"05/03/2025 00:15 - 05/03/2025 00:30","BZN|DE-LU","50032.47","50405.00"
"05/03/2025 00:30 - 05/03/2025 00:45","BZN|DE-LU","49723.75","50027.62"
"05/03/2025 00:45 - 05/03/2025 01:00","BZN|DE-LU","49540.68","50160.27"
"05/03/2025 01:00 - 05/03/2025 01:15","BZN|DE-LU","49301.71","49329.38"
"05/03/2025 01:15 - 05/03/2025 01:30","BZN|DE-LU","49321.30","49418.48"
"05/03/2025 01:30 - 05/03/2025 01:45","BZN|DE-LU","49473.50","49801.09"
"05/03/2025 01:45 - 05/03/2025 02:00","BZN|DE-LU","49467.37","50399.55"
"05/03/2025 02:00 - 05/03/2025 02:15","BZN|DE-LU","49698.26","49906.42"
"05/03/2025 02:15 - 05/03/2025 02:30","BZN|DE-LU","49479.99","50026.42"
"05/03/2025 02:30 - 05/03/2025 02:45","BZN|DE-LU","49637.28","50030.70"
"05/03/2025 02:45 - 05/03/2025 03:00","BZN|DE-LU","50155.29","50375.19"
"05/03/2025 03:00 - 05/03/2025 03:15","BZN|DE-LU","50608.33","50673.71"
"05/03/2025 03:15 - 05/03/2025 03:30","BZN|DE-LU","51100.34","51069.03"
"05/03/2025 03:30 - 05/03/2025 03:45","BZN|DE-LU","51436.56","51432.54"
"05/03/2025 03:45 - 05/03/2025 04:00","BZN|DE-LU","51867.70","52526.30"
"05/03/2025 04:00 - 05/03/2025 04:15","BZN|DE-LU","53269.91","53880.90"
"05/03/2025 04:15 - 05/03/2025 04:30","BZN|DE-LU","53931.18","54702.42"
"05/03/2025 04:30 - 05/03/2025 04:45","BZN|DE-LU","54944.15","54482.21"
"05/03/2025 04:45 - 05/03/2025 05:00","BZN|DE-LU","56552.72","55855.21"
"05/03/2025 05:00 - 05/03/2025 05:15","BZN|DE-LU","59161.98","58433.61"
"05/03/2025 05:15 - 05/03/2025 05:30","BZN|DE-LU","61044.63","60222.15"
"05/03/2025 05:30 - 05/03/2025 05:45","BZN|DE-LU","62449.30","61697.82"
"05/03/2025 05:45 - 05/03/2025 06:00","BZN|DE-LU","63406.14","62732.47"
"05/03/2025 06:00 - 05/03/2025 06:15","BZN|DE-LU","64980.46","64438.93"
"05/03/2025 06:15 - 05/03/2025 06:30","BZN|DE-LU","65788.54","65453.70"
"05/03/2025 06:30 - 05/03/2025 06:45","BZN|DE-LU","66487.49","66516.14"
"05/03/2025 06:45 - 05/03/2025 07:00","BZN|DE-LU","66622.28","67422.11"
"05/03/2025 07:00 - 05/03/2025 07:15","BZN|DE-LU","66970.77","68388.01"
"05/03/2025 07:15 - 05/03/2025 07:30","BZN|DE-LU","68418.72","68742.68"
"05/03/2025 07:30 - 05/03/2025 07:45","BZN|DE-LU","68727.08","69873.22"
"05/03/2025 07:45 - 05/03/2025 08:00","BZN|DE-LU","68232.67","69831.13"
"05/03/2025 08:00 - 05/03/2025 08:15","BZN|DE-LU","67220.94","69541.55"
"05/03/2025 08:15 - 05/03/2025 08:30","BZN|DE-LU","67375.76","69839.38"
"05/03/2025 08:30 - 05/03/2025 08:45","BZN|DE-LU","67228.78","70338.43"
"05/03/2025 08:45 - 05/03/2025 09:00","BZN|DE-LU","66178.45","70400.32"
"05/03/2025 09:00 - 05/03/2025 09:15","BZN|DE-LU","65144.40","70111.13"
"05/03/2025 09:15 - 05/03/2025 09:30","BZN|DE-LU","64970.20","70916.32"
"05/03/2025 09:30 - 05/03/2025 09:45","BZN|DE-LU","65022.83","69752.09"
"05/03/2025 09:45 - 05/03/2025 10:00","BZN|DE-LU","64487.52","70375.37"
"05/03/2025 10:00 - 05/03/2025 10:15","BZN|DE-LU","63367.27","69905.35"
"05/03/2025 10:15 - 05/03/2025 10:30","BZN|DE-LU","63037.61","69665.21"
"05/03/2025 10:30 - 05/03/2025 10:45","BZN|DE-LU","62874.19","69818.34"
"05/03/2025 10:45 - 05/03/2025 11:00","BZN|DE-LU","62006.10","69861.11"
"05/03/2025 11:00 - 05/03/2025 11:15","BZN|DE-LU","61826.60","69275.42"
"05/03/2025 11:15 - 05/03/2025 11:30","BZN|DE-LU","60948.92","69411.08"
"05/03/2025 11:30 - 05/03/2025 11:45","BZN|DE-LU","60322.67","69039.33"
"05/03/2025 11:45 - 05/03/2025 12:00","BZN|DE-LU","59798.71","69224.04"
"05/03/2025 12:00 - 05/03/2025 12:15","BZN|DE-LU","60301.02","68520.65"
"05/03/2025 12:15 - 05/03/2025 12:30","BZN|DE-LU","59994.64","68192.77"
"05/03/2025 12:30 - 05/03/2025 12:45","BZN|DE-LU","59312.57","67207.26"
"05/03/2025 12:45 - 05/03/2025 13:00","BZN|DE-LU","58822.32","66195.63"
"05/03/2025 13:00 - 05/03/2025 13:15","BZN|DE-LU","59779.72","65769.59"
"05/03/2025 13:15 - 05/03/2025 13:30","BZN|DE-LU","59682.82","65315.73"
"05/03/2025 13:30 - 05/03/2025 13:45","BZN|DE-LU","59684.15","64381.96"
"05/03/2025 13:45 - 05/03/2025 14:00","BZN|DE-LU","59349.81","63961.39"
"05/03/2025 14:00 - 05/03/2025 14:15","BZN|DE-LU","59062.29","64080.47"
"05/03/2025 14:15 - 05/03/2025 14:30","BZN|DE-LU","58941.14","63478.35"
"05/03/2025 14:30 - 05/03/2025 14:45","BZN|DE-LU","58986.08","63168.55"
"05/03/2025 14:45 - 05/03/2025 15:00","BZN|DE-LU","58986.56","62925.36"
"05/03/2025 15:00 - 05/03/2025 15:15","BZN|DE-LU","58845.65","62786.07"
"05/03/2025 15:15 - 05/03/2025 15:30","BZN|DE-LU","59718.30","63576.79"
"05/03/2025 15:30 - 05/03/2025 15:45","BZN|DE-LU","60173.85","63380.80"
"05/03/2025 15:45 - 05/03/2025 16:00","BZN|DE-LU","61124.70","63728.36"
"05/03/2025 16:00 - 05/03/2025 16:15","BZN|DE-LU","62767.76","64006.61"
"05/03/2025 16:15 - 05/03/2025 16:30","BZN|DE-LU","63541.79","65507.48"
"05/03/2025 16:30 - 05/03/2025 16:45","BZN|DE-LU","64410.36","65502.97"
"05/03/2025 16:45 - 05/03/2025 17:00","BZN|DE-LU","65913.56","65888.69"
"05/03/2025 17:00 - 05/03/2025 17:15","BZN|DE-LU","66698.89","66318.27"
"05/03/2025 17:15 - 05/03/2025 17:30","BZN|DE-LU","67327.76","66278.07"
"05/03/2025 17:30 - 05/03/2025 17:45","BZN|DE-LU","67957.43","66640.86"
"05/03/2025 17:45 - 05/03/2025 18:00","BZN|DE-LU","68956.72","67042.59"
"05/03/2025 18:00 - 05/03/2025 18:15","BZN|DE-LU","68773.91","67209.45"
"05/03/2025 18:15 - 05/03/2025 18:30","BZN|DE-LU","68591.44","66571.50"
"05/03/2025 18:30 - 05/03/2025 18:45","BZN|DE-LU","68106.32","66371.53"
"05/03/2025 18:45 - 05/03/2025 19:00","BZN|DE-LU","67488.02","65301.68"
"05/03/2025 19:00 - 05/03/2025 19:15","BZN|DE-LU","66040.29","64410.49"
"05/03/2025 19:15 - 05/03/2025 19:30","BZN|DE-LU","65145.78","62906.96"
"05/03/2025 19:30 - 05/03/2025 19:45","BZN|DE-LU","64089.57","61693.10"
"05/03/2025 19:45 - 05/03/2025 20:00","BZN|DE-LU","63440.71","60991.93"
"05/03/2025 20:00 - 05/03/2025 20:15","BZN|DE-LU","62587.04","60645.86"
"05/03/2025 20:15 - 05/03/2025 20:30","BZN|DE-LU","61213.28","59354.18"
"05/03/2025 20:30 - 05/03/2025 20:45","BZN|DE-LU","60478.41","58689.49"
"05/03/2025 20:45 - 05/03/2025 21:00","BZN|DE-LU","60040.72","57523.98"
"05/03/2025 21:00 - 05/03/2025 21:15","BZN|DE-LU","58891.17","56652.37"
"05/03/2025 21:15 - 05/03/2025 21:30","BZN|DE-LU","58300.54","56373.46"
"05/03/2025 21:30 - 05/03/2025 21:45","BZN|DE-LU","57522.15","55471.78"
"05/03/2025 21:45 - 05/03/2025 22:00","BZN|DE-LU","56910.78","54368.34"
"05/03/2025 22:00 - 05/03/2025 22:15","BZN|DE-LU","55297.45","53257.17"
"05/03/2025 22:15 - 05/03/2025 22:30","BZN|DE-LU","54457.60","52600.21"
"05/03/2025 22:30 - 05/03/2025 22:45","BZN|DE-LU","53236.81","51833.48"
